assigned_who,fixed_bugs,total_reports,fixed_bugs_ratio
2054,1,2,0.5
2066,0,2,0.0
2077,0,4,0.0
2098,0,2,0.0
2124,505,1039,0.48604427333974976
2153,0,2,0.0
2161,1,2,0.5
2176,2,6,0.3333333333333333
2181,0,2,0.0
2184,163,469,0.34754797441364604
2186,1,2,0.5
2200,0,2,0.0
2202,0,5,0.0
2207,0,6,0.0
2235,1,3,0.3333333333333333
2253,0,7,0.0
2268,0,3,0.0
2273,2,8,0.25
2279,0,2,0.0
2294,1,2,0.5
2373,0,2,0.0
2386,0,2,0.0
2389,2,4,0.5
2408,1,2,0.5
2409,2,8,0.25
2445,0,2,0.0
2478,173,593,0.2917369308600337
2518,0,2,0.0
2521,0,2,0.0
2557,0,5,0.0
2564,1,2,0.5
2599,0,2,0.0
2624,8,41,0.1951219512195122
2626,0,2,0.0
2631,1,2,0.5
2642,0,3,0.0
2643,0,2,0.0
2647,0,2,0.0
2676,0,5,0.0
2699,0,3,0.0
2719,1,2,0.5
2723,0,14,0.0
2727,1,2,0.5
2733,2,4,0.5
2737,9,51,0.17647058823529413
2739,0,2,0.0
2767,0,2,0.0
2768,0,2,0.0
2769,0,2,0.0
2775,3,22,0.13636363636363635
2791,2,4,0.5
2792,1,2,0.5
2834,0,2,0.0
2859,2,4,0.5
2864,0,2,0.0
2897,0,2,0.0
2899,1,2,0.5
2905,0,2,0.0
2926,0,3,0.0
2945,0,3,0.0
2950,2,5,0.4
2992,1,2,0.5
3045,0,2,0.0
3050,1,2,0.5
3062,0,7,0.0
3065,0,2,0.0
3077,0,4,0.0
3126,2,4,0.5
3152,4,8,0.5
3155,4,6,0.6666666666666666
3168,0,3,0.0
3178,1,2,0.5
3181,0,2,0.0
3195,0,2,0.0
3205,1,2,0.5
3240,0,2,0.0
3262,0,2,0.0
3304,1,2,0.5
3351,1,2,0.5
3362,1,4,0.25
3433,0,2,0.0
3458,0,2,0.0
3474,0,2,0.0
3481,187,380,0.4921052631578947
3506,0,2,0.0
3535,1,3,0.3333333333333333
3541,0,6,0.0
3551,2,6,0.3333333333333333
3584,1,2,0.5
3585,2,4,0.5
3587,1,4,0.25
3591,0,2,0.0
3599,0,6,0.0
3602,0,12,0.0
3603,1,2,0.5
3604,1,2,0.5
3611,0,2,0.0
3614,0,2,0.0
3636,0,2,0.0
3646,0,3,0.0
3681,0,2,0.0
3686,1,2,0.5
3693,1,2,0.5
3704,1,2,0.5
3716,30,68,0.4411764705882353
3719,1,3,0.3333333333333333
3722,0,4,0.0
3798,0,2,0.0
3805,0,2,0.0
3927,1,2,0.5
3930,1,2,0.5
3942,2,3,0.6666666666666666
3943,2,4,0.5
3945,1,2,0.5
3968,1,2,0.5
3985,1,4,0.25
3992,0,2,0.0
4010,0,2,0.0
4032,0,5,0.0
4098,0,2,0.0
4117,0,2,0.0
4153,1,2,0.5
4173,0,3,0.0
4174,0,2,0.0
4192,1,3,0.3333333333333333
4224,0,6,0.0
4255,0,2,0.0
4284,1,2,0.5
4304,1,2,0.5
4311,1,5,0.2
4312,1,2,0.5
4343,1,2,0.5
4353,0,2,0.0
4355,0,2,0.0
4371,0,3,0.0
4384,1,2,0.5
4413,1,2,0.5
4435,0,2,0.0
4438,231,653,0.3537519142419602
4440,103,202,0.5099009900990099
4456,17,27,0.6296296296296297
4476,0,2,0.0
4487,0,2,0.0
4502,892,1860,0.47956989247311826
4517,0,2,0.0
4525,1,3,0.3333333333333333
4535,0,2,0.0
4549,1,2,0.5
4579,0,2,0.0
4650,0,2,0.0
4676,14,37,0.3783783783783784
4688,0,2,0.0
4701,0,3,0.0
4731,0,2,0.0
4736,0,2,0.0
4764,1,2,0.5
4769,1,2,0.5
4787,1,5,0.2
4803,2,8,0.25
4804,21,31,0.6774193548387096
4807,0,7,0.0
4850,0,2,0.0
4861,975,3420,0.2850877192982456
4870,0,2,0.0
4891,0,3,0.0
4896,0,2,0.0
4898,8,26,0.3076923076923077
4911,0,2,0.0
4941,0,2,0.0
4949,0,2,0.0
4955,1,2,0.5
4976,0,2,0.0
4982,2,4,0.5
4985,6,14,0.42857142857142855
5019,0,2,0.0
5111,1,2,0.5
5116,1,2,0.5
5164,0,2,0.0
5172,0,4,0.0
5213,1,2,0.5
5215,0,2,0.0
5240,2,9,0.2222222222222222
5257,2,4,0.5
5318,1,2,0.5
5382,1,2,0.5
5385,1,3,0.3333333333333333
5409,1,2,0.5
5452,0,2,0.0
5470,241,394,0.6116751269035533
5481,1,2,0.5
5491,0,4,0.0
