assigned_who,bug_status_edits_fixed,resolution_edits_fixed
57427,1.0,0.0
57858,1.0,0.0
58275,1.0,0.0
58325,1.0,0.0
58961,1.0,0.0
59366,19.0,32.0
59444,1.0,0.0
59446,1.0,0.0
59600,1.0,2.0
59610,1.0,0.0
60059,1.0,3.0
60230,1.0,0.0
60840,1.0,1.0
60918,2.0,4.0
61159,1.0,0.0
61325,2.0,0.0
61509,1.0,0.0
61589,91.0,151.0
62282,1.0,3.0
62497,1.0,0.0
62768,1.0,0.0
63098,10.0,3.0
63249,1.0,2.0
64536,2.0,0.0
64859,1.0,2.0
64902,1.0,0.0
65007,22.0,58.0
65184,1.0,0.0
65562,1.0,0.0
65701,1.0,0.0
67073,1.0,0.0
67252,84.0,112.0
67610,1.0,3.0
67785,1.0,0.0
68103,1.0,0.0
68480,1.0,0.0
70292,1.0,2.0
71230,1.0,2.0
75424,1.0,2.0
76824,1.0,2.0
77106,1.0,0.0
80561,1.0,0.0
81648,1.0,0.0
83282,1.0,0.0
84938,1.0,0.0
85160,1.0,0.0
88864,1.0,0.0
90590,1.0,2.0
91126,1.0,2.0
91476,1.0,0.0
94493,1.0,2.0
95849,1.0,0.0
99373,1.0,2.0
100403,1.0,2.0
101659,1.0,2.0
102590,1.0,0.0
106615,1.0,0.0
107689,1.0,2.0
113747,1.0,2.0
18767,0.0,5.0
20932,0.0,1.0
22874,0.0,2.0
22915,0.0,2.0
25633,0.0,2.0
27608,0.0,1.0
37190,0.0,32.0
47948,0.0,1.0
50126,0.0,2.0
53075,0.0,1.0
61388,0.0,2.0
64065,0.0,2.0
70219,0.0,1.0
76209,0.0,2.0
76401,0.0,3.0
78030,0.0,2.0
78958,0.0,2.0
90817,0.0,2.0
91655,0.0,3.0
113266,0.0,4.0
113855,0.0,2.0
